feature_idx,n_cells,cells,pval,pval_bonferroni
8633,6,Gender/Masc;Number/Plur;Number/Sing;Person/1;Person/2;Person/3,1.2621774483536189e-17,4.1359030627651384e-13
9539,6,Gender/Masc;Number/Plur;Number/Sing;Person/1;Person/2;Person/3,1.2621774483536189e-17,4.1359030627651384e-13
12731,6,Gender/Masc;Number/Plur;Number/Sing;Person/1;Person/2;Person/3,1.2621774483536189e-17,4.1359030627651384e-13
3454,6,Gender/Masc;Number/Plur;Number/Sing;Person/1;Person/2;Person/3,1.2621774483536189e-17,4.1359030627651384e-13
14366,6,Gender/Masc;Number/Plur;Number/Sing;Person/1;Person/2;Person/3,1.2621774483536189e-17,4.1359030627651384e-13
11802,6,Gender/Masc;Number/Plur;Number/Sing;Person/1;Person/2;Person/3,1.2621774483536189e-17,4.1359030627651384e-13
15980,6,Gender/Masc;Number/Plur;Number/Sing;Person/1;Person/2;Person/3,1.2621774483536189e-17,4.1359030627651384e-13
10870,6,Gender/Masc;Number/Plur;Number/Sing;Person/1;Person/2;Person/3,1.2621774483536189e-17,4.1359030627651384e-13
26040,6,Gender/Masc;Number/Plur;Number/Sing;Person/1;Person/2;Person/3,1.2621774483536189e-17,4.1359030627651384e-13
24916,6,Gender/Masc;Number/Plur;Number/Sing;Person/1;Person/2;Person/3,1.2621774483536189e-17,4.1359030627651384e-13
15614,6,Gender/Masc;Number/Plur;Number/Sing;Person/1;Person/2;Person/3,1.2621774483536189e-17,4.1359030627651384e-13
25677,6,Gender/Masc;Number/Plur;Number/Sing;Person/1;Person/2;Person/3,1.2621774483536189e-17,4.1359030627651384e-13
9102,6,Gender/Masc;Number/Plur;Number/Sing;Person/1;Person/2;Person/3,1.2621774483536189e-17,4.1359030627651384e-13
14530,6,Gender/Masc;Number/Plur;Number/Sing;Person/1;Person/2;Person/3,1.2621774483536189e-17,4.1359030627651384e-13
30723,6,Gender/Masc;Number/Plur;Number/Sing;Person/1;Person/2;Person/3,1.2621774483536189e-17,4.1359030627651384e-13
10585,6,Gender/Masc;Number/Plur;Number/Sing;Person/1;Person/2;Person/3,1.2621774483536189e-17,4.1359030627651384e-13
27031,6,Gender/Masc;Number/Plur;Number/Sing;Person/1;Person/2;Person/3,1.2621774483536189e-17,4.1359030627651384e-13
17348,6,Gender/Masc;Number/Plur;Number/Sing;Person/1;Person/2;Person/3,1.2621774483536189e-17,4.1359030627651384e-13
28847,5,Gender/Masc;Number/Plur;Number/Sing;Person/1;Person/3,4.956772788076398e-14,1.624235307196874e-09
27021,5,Gender/Masc;Number/Plur;Number/Sing;Person/1;Person/3,4.956772788076398e-14,1.624235307196874e-09
10123,5,Gender/Masc;Number/Plur;Number/Sing;Person/1;Person/3,4.956772788076398e-14,1.624235307196874e-09
2083,5,Gender/Masc;Number/Plur;Number/Sing;Person/2;Person/3,4.956772788076398e-14,1.624235307196874e-09
29424,5,Gender/Masc;Number/Plur;Number/Sing;Person/1;Person/3,4.956772788076398e-14,1.624235307196874e-09
20383,5,Gender/Masc;Number/Plur;Number/Sing;Person/2;Person/3,4.956772788076398e-14,1.624235307196874e-09
10259,5,Gender/Masc;Number/Plur;Number/Sing;Person/1;Person/3,4.956772788076398e-14,1.624235307196874e-09
23689,5,Gender/Masc;Number/Plur;Number/Sing;Person/2;Person/3,4.956772788076398e-14,1.624235307196874e-09
30980,5,Gender/Masc;Number/Plur;Person/1;Person/2;Person/3,4.956772788076398e-14,1.624235307196874e-09
7092,5,Gender/Masc;Number/Plur;Number/Sing;Person/2;Person/3,4.956772788076398e-14,1.624235307196874e-09
13063,5,Gender/Masc;Number/Plur;Number/Sing;Person/2;Person/3,4.956772788076398e-14,1.624235307196874e-09
26333,5,Number/Plur;Number/Sing;Person/1;Person/2;Person/3,4.956772788076398e-14,1.624235307196874e-09
28023,4,Gender/Masc;Number/Plur;Number/Sing;Person/3,8.111676580714494e-11,2.6580341819685254e-06
22920,4,Gender/Masc;Number/Plur;Number/Sing;Person/3,8.111676580714494e-11,2.6580341819685254e-06
32152,4,Gender/Masc;Number/Plur;Number/Sing;Person/3,8.111676580714494e-11,2.6580341819685254e-06
23818,4,Number/Plur;Number/Sing;Person/2;Person/3,8.111676580714494e-11,2.6580341819685254e-06
21923,4,Number/Plur;Number/Sing;Person/1;Person/3,8.111676580714494e-11,2.6580341819685254e-06
18540,4,Number/Plur;Number/Sing;Person/2;Person/3,8.111676580714494e-11,2.6580341819685254e-06
8167,4,Number/Plur;Person/1;Person/2;Person/3,8.111676580714494e-11,2.6580341819685254e-06
31190,4,Number/Sing;Person/1;Person/2;Person/3,8.111676580714494e-11,2.6580341819685254e-06
24529,3,Gender/Masc;Number/Sing;Person/2,7.081062574600356e-08,0.0023203225844450445
11844,3,Number/Plur;Number/Sing;Person/3,7.081062574600356e-08,0.0023203225844450445
5801,3,Number/Plur;Number/Sing;Person/3,7.081062574600356e-08,0.0023203225844450445
2155,3,Number/Plur;Number/Sing;Person/3,7.081062574600356e-08,0.0023203225844450445
26787,3,Number/Plur;Number/Sing;Person/3,7.081062574600356e-08,0.0023203225844450445
2479,3,Number/Plur;Number/Sing;Person/3,7.081062574600356e-08,0.0023203225844450445
