lang,cell,n_pairs,n_single,n_last,metric_mean,metric_neg_frac
ara,Dual_Dual,30,0,30,8.375,0.03333333333333333
ara,Dual_Sing,168,0,168,8.26127695611545,0.02976190476190476
ara,Gender_Fem,84,4,80,7.540643623897007,0.14285714285714285
ara,Gender_Masc,37,3,34,8.285261895205524,0.02702702702702703
ara,Number_Sing,162,0,162,8.13305362580735,0.018518518518518517
ara,Person_1,2,0,2,10.734375,0.0
ara,Person_2,6,0,6,3.2656248013178506,0.3333333333333333
ara,Person_3,194,66,128,6.546391768553822,0.10824742268041238
eng,Aspect_Prog,1,1,0,5.03125,0.0
eng,Gender_Fem,2,2,0,3.875,0.0
eng,Gender_Masc,1,1,0,1.937500238418579,0.0
eng,Mood_Sub,2,2,0,1.203125238418579,0.5
eng,Number_Plur,3,3,0,6.375,0.0
eng,Number_Sing,1,1,0,6.28125,0.0
eng,Person_1,1,1,0,7.4375,0.0
eng,Person_3,1,1,0,3.1875,0.0
eng,Polarity_Neg,1,1,0,-0.625,1.0
eng,Tense_Past,2,2,0,4.703125238418579,0.0
eng,Tense_Pres,1,1,0,1.0,0.0
fra,Gender_Masc,104,2,102,9.147566561515514,0.009615384615384616
fra,Number_Plur,240,31,209,10.060387886563937,0.13333333333333333
fra,Number_Sing,240,24,216,8.609639486670494,0.09166666666666666
fra,Person_1,240,53,187,7.606231169899305,0.13333333333333333
fra,Person_2,240,31,209,12.237044033408164,0.041666666666666664
fra,Person_3,240,27,213,10.881901034712792,0.03333333333333333
spa,Gender_Masc,160,1,159,7.698287973180413,0.025
spa,Number_Plur,240,25,215,8.824041725695134,0.13333333333333333
spa,Number_Sing,240,10,230,9.150730379670858,0.06666666666666667
spa,Person_1,240,46,194,8.121350094676018,0.0875
spa,Person_2,208,3,205,13.114666262498268,0.014423076923076924
spa,Person_3,240,7,233,10.587173456450303,0.016666666666666666
tur,Number_Sing,240,11,229,9.732270283252001,0.04583333333333333
tur,Person_1,240,3,237,10.349983796228965,0.05416666666666667
tur,Person_2,206,6,200,11.130847004432123,0.08737864077669903
tur,Person_3,240,10,230,8.560135918855668,0.08333333333333333
