feature_idx,n_cells,cells,pval,pval_bonferroni
9539,8,Dual/Dual;Dual/Sing;Gender/Fem;Gender/Masc;Number/Sing;Person/1;Person/2;Person/3,2.938735877055719e-23,9.62964972193618e-19
3650,8,Dual/Dual;Dual/Sing;Gender/Fem;Gender/Masc;Number/Sing;Person/1;Person/2;Person/3,2.938735877055719e-23,9.62964972193618e-19
14366,8,Dual/Dual;Dual/Sing;Gender/Fem;Gender/Masc;Number/Sing;Person/1;Person/2;Person/3,2.938735877055719e-23,9.62964972193618e-19
10870,8,Dual/Dual;Dual/Sing;Gender/Fem;Gender/Masc;Number/Sing;Person/1;Person/2;Person/3,2.938735877055719e-23,9.62964972193618e-19
24916,8,Dual/Dual;Dual/Sing;Gender/Fem;Gender/Masc;Number/Sing;Person/1;Person/2;Person/3,2.938735877055719e-23,9.62964972193618e-19
28847,7,Dual/Dual;Dual/Sing;Gender/Fem;Gender/Masc;Number/Sing;Person/1;Person/3,1.5386868403958497e-19,5.04196903860912e-15
15980,7,Dual/Dual;Dual/Sing;Gender/Fem;Gender/Masc;Number/Sing;Person/2;Person/3,1.5386868403958497e-19,5.04196903860912e-15
14530,7,Dual/Dual;Dual/Sing;Gender/Fem;Gender/Masc;Number/Sing;Person/2;Person/3,1.5386868403958497e-19,5.04196903860912e-15
3454,7,Dual/Dual;Dual/Sing;Gender/Fem;Gender/Masc;Number/Sing;Person/1;Person/3,1.5386868403958497e-19,5.04196903860912e-15
27021,7,Dual/Dual;Dual/Sing;Gender/Fem;Gender/Masc;Number/Sing;Person/2;Person/3,1.5386868403958497e-19,5.04196903860912e-15
17348,7,Dual/Dual;Dual/Sing;Gender/Fem;Gender/Masc;Number/Sing;Person/2;Person/3,1.5386868403958497e-19,5.04196903860912e-15
11720,7,Dual/Sing;Gender/Fem;Gender/Masc;Number/Sing;Person/1;Person/2;Person/3,1.5386868403958497e-19,5.04196903860912e-15
11802,7,Dual/Sing;Gender/Fem;Gender/Masc;Number/Sing;Person/1;Person/2;Person/3,1.5386868403958497e-19,5.04196903860912e-15
6150,7,Dual/Sing;Gender/Fem;Gender/Masc;Number/Sing;Person/1;Person/2;Person/3,1.5386868403958497e-19,5.04196903860912e-15
26040,6,Dual/Dual;Dual/Sing;Gender/Fem;Number/Sing;Person/2;Person/3,3.5248585630024165e-16,1.1550256539246319e-11
27513,6,Dual/Dual;Dual/Sing;Gender/Fem;Gender/Masc;Number/Sing;Person/3,3.5248585630024165e-16,1.1550256539246319e-11
28769,6,Dual/Dual;Dual/Sing;Gender/Fem;Number/Sing;Person/1;Person/3,3.5248585630024165e-16,1.1550256539246319e-11
19565,6,Dual/Dual;Dual/Sing;Gender/Fem;Gender/Masc;Number/Sing;Person/3,3.5248585630024165e-16,1.1550256539246319e-11
9081,6,Dual/Sing;Gender/Fem;Number/Sing;Person/1;Person/2;Person/3,3.5248585630024165e-16,1.1550256539246319e-11
5743,6,Dual/Sing;Gender/Fem;Number/Sing;Person/1;Person/2;Person/3,3.5248585630024165e-16,1.1550256539246319e-11
22860,6,Dual/Sing;Gender/Fem;Gender/Masc;Number/Sing;Person/2;Person/3,3.5248585630024165e-16,1.1550256539246319e-11
8577,5,Dual/Dual;Dual/Sing;Gender/Fem;Gender/Masc;Number/Sing,4.614564046893762e-13,1.512100346886148e-08
10775,5,Dual/Dual;Dual/Sing;Gender/Fem;Number/Sing;Person/3,4.614564046893762e-13,1.512100346886148e-08
32152,5,Dual/Dual;Dual/Sing;Gender/Fem;Gender/Masc;Number/Sing,4.614564046893762e-13,1.512100346886148e-08
8411,5,Dual/Dual;Dual/Sing;Gender/Fem;Number/Sing;Person/1,4.614564046893762e-13,1.512100346886148e-08
1691,5,Dual/Dual;Gender/Fem;Gender/Masc;Number/Sing;Person/2,4.614564046893762e-13,1.512100346886148e-08
10529,5,Dual/Dual;Dual/Sing;Gender/Fem;Gender/Masc;Number/Sing,4.614564046893762e-13,1.512100346886148e-08
21923,5,Dual/Dual;Dual/Sing;Gender/Fem;Number/Sing;Person/3,4.614564046893762e-13,1.512100346886148e-08
20569,5,Dual/Dual;Dual/Sing;Gender/Fem;Gender/Masc;Number/Sing,4.614564046893762e-13,1.512100346886148e-08
17451,5,Dual/Sing;Gender/Fem;Gender/Masc;Number/Sing;Person/3,4.614564046893762e-13,1.512100346886148e-08
21952,5,Dual/Sing;Gender/Fem;Gender/Masc;Number/Sing;Person/3,4.614564046893762e-13,1.512100346886148e-08
8344,4,Dual/Dual;Gender/Fem;Gender/Masc;Person/2,3.776214068142039e-10,1.2373898258487833e-05
27031,4,Dual/Dual;Dual/Sing;Number/Sing;Person/3,3.776214068142039e-10,1.2373898258487833e-05
26711,4,Dual/Dual;Dual/Sing;Gender/Fem;Person/3,3.776214068142039e-10,1.2373898258487833e-05
24071,4,Dual/Sing;Gender/Masc;Number/Sing;Person/3,3.776214068142039e-10,1.2373898258487833e-05
30723,4,Dual/Sing;Number/Sing;Person/2;Person/3,3.776214068142039e-10,1.2373898258487833e-05
7993,4,Dual/Sing;Gender/Masc;Number/Sing;Person/3,3.776214068142039e-10,1.2373898258487833e-05
23910,4,Dual/Sing;Gender/Fem;Number/Sing;Person/3,3.776214068142039e-10,1.2373898258487833e-05
25404,4,Dual/Sing;Person/1;Person/2;Person/3,3.776214068142039e-10,1.2373898258487833e-05
2894,4,Dual/Sing;Gender/Fem;Gender/Masc;Number/Sing,3.776214068142039e-10,1.2373898258487833e-05
8167,4,Dual/Sing;Gender/Masc;Number/Sing;Person/3,3.776214068142039e-10,1.2373898258487833e-05
26268,4,Gender/Fem;Gender/Masc;Number/Sing;Person/2,3.776214068142039e-10,1.2373898258487833e-05
25569,3,Dual/Dual;Gender/Fem;Person/2,1.9781632952679018e-07,0.0064820454859338605
10123,3,Dual/Dual;Gender/Masc;Person/1,1.9781632952679018e-07,0.0064820454859338605
31190,3,Dual/Dual;Gender/Fem;Gender/Masc,1.9781632952679018e-07,0.0064820454859338605
21258,3,Dual/Dual;Person/1;Person/3,1.9781632952679018e-07,0.0064820454859338605
12788,3,Dual/Sing;Number/Sing;Person/3,1.9781632952679018e-07,0.0064820454859338605
10585,3,Dual/Sing;Gender/Fem;Gender/Masc,1.9781632952679018e-07,0.0064820454859338605
6453,3,Dual/Sing;Gender/Masc;Person/1,1.9781632952679018e-07,0.0064820454859338605
94,3,Dual/Sing;Number/Sing;Person/1,1.9781632952679018e-07,0.0064820454859338605
8516,3,Dual/Sing;Gender/Masc;Number/Sing,1.9781632952679018e-07,0.0064820454859338605
19843,3,Dual/Sing;Person/1;Person/3,1.9781632952679018e-07,0.0064820454859338605
25977,3,Dual/Sing;Number/Sing;Person/2,1.9781632952679018e-07,0.0064820454859338605
15744,3,Gender/Fem;Gender/Masc;Number/Sing,1.9781632952679018e-07,0.0064820454859338605
19969,3,Gender/Masc;Number/Sing;Person/1,1.9781632952679018e-07,0.0064820454859338605
30980,3,Gender/Masc;Person/2;Person/3,1.9781632952679018e-07,0.0064820454859338605
12974,3,Number/Sing;Person/1;Person/3,1.9781632952679018e-07,0.0064820454859338605
10259,2,Dual/Dual;Person/2,6.479581285222053e-05,1.0
2771,2,Dual/Dual;Person/1,6.479581285222053e-05,1.0
5665,2,Dual/Dual;Gender/Fem,6.479581285222053e-05,1.0
2479,2,Dual/Dual;Gender/Fem,6.479581285222053e-05,1.0
6858,2,Dual/Sing;Person/3,6.479581285222053e-05,1.0
23765,2,Dual/Sing;Number/Sing,6.479581285222053e-05,1.0
12257,2,Gender/Fem;Gender/Masc,6.479581285222053e-05,1.0
154,2,Gender/Fem;Person/1,6.479581285222053e-05,1.0
6758,2,Gender/Fem;Person/3,6.479581285222053e-05,1.0
2155,2,Gender/Masc;Person/2,6.479581285222053e-05,1.0
19547,2,Number/Sing;Person/1,6.479581285222053e-05,1.0
8782,2,Person/1;Person/3,6.479581285222053e-05,1.0
20383,2,Person/1;Person/3,6.479581285222053e-05,1.0
23404,2,Person/2;Person/3,6.479581285222053e-05,1.0
22230,1,Dual/Dual,0.012142037242735037,1.0
19612,1,Dual/Dual,0.012142037242735037,1.0
11133,1,Dual/Dual,0.012142037242735037,1.0
27887,1,Dual/Dual,0.012142037242735037,1.0
3516,1,Dual/Dual,0.012142037242735037,1.0
23831,1,Dual/Dual,0.012142037242735037,1.0
4014,1,Dual/Dual,0.012142037242735037,1.0
9646,1,Dual/Dual,0.012142037242735037,1.0
9942,1,Dual/Dual,0.012142037242735037,1.0
9236,1,Dual/Dual,0.012142037242735037,1.0
4274,1,Dual/Dual,0.012142037242735037,1.0
31162,1,Dual/Dual,0.012142037242735037,1.0
26333,1,Dual/Dual,0.012142037242735037,1.0
22487,1,Dual/Dual,0.012142037242735037,1.0
671,1,Dual/Dual,0.012142037242735037,1.0
19745,1,Dual/Dual,0.012142037242735037,1.0
972,1,Dual/Sing,0.012142037242735037,1.0
12248,1,Dual/Sing,0.012142037242735037,1.0
2855,1,Gender/Fem,0.012142037242735037,1.0
7451,1,Gender/Fem,0.012142037242735037,1.0
21290,1,Gender/Fem,0.012142037242735037,1.0
7196,1,Gender/Fem,0.012142037242735037,1.0
28023,1,Gender/Fem,0.012142037242735037,1.0
15595,1,Gender/Masc,0.012142037242735037,1.0
15143,1,Gender/Masc,0.012142037242735037,1.0
11844,1,Gender/Masc,0.012142037242735037,1.0
23818,1,Gender/Masc,0.012142037242735037,1.0
23931,1,Gender/Masc,0.012142037242735037,1.0
12472,1,Gender/Masc,0.012142037242735037,1.0
13063,1,Gender/Masc,0.012142037242735037,1.0
32570,1,Gender/Masc,0.012142037242735037,1.0
8552,1,Gender/Masc,0.012142037242735037,1.0
5261,1,Gender/Masc,0.012142037242735037,1.0
31320,1,Number/Sing,0.012142037242735037,1.0
12290,1,Number/Sing,0.012142037242735037,1.0
6704,1,Person/1,0.012142037242735037,1.0
7841,1,Person/1,0.012142037242735037,1.0
21065,1,Person/1,0.012142037242735037,1.0
26854,1,Person/1,0.012142037242735037,1.0
19809,1,Person/1,0.012142037242735037,1.0
3526,1,Person/1,0.012142037242735037,1.0
24529,1,Person/1,0.012142037242735037,1.0
30439,1,Person/1,0.012142037242735037,1.0
9859,1,Person/1,0.012142037242735037,1.0
11183,1,Person/1,0.012142037242735037,1.0
16029,1,Person/1,0.012142037242735037,1.0
3670,1,Person/1,0.012142037242735037,1.0
1312,1,Person/1,0.012142037242735037,1.0
22371,1,Person/1,0.012142037242735037,1.0
19387,1,Person/1,0.012142037242735037,1.0
32058,1,Person/1,0.012142037242735037,1.0
12807,1,Person/1,0.012142037242735037,1.0
3723,1,Person/1,0.012142037242735037,1.0
31349,1,Person/1,0.012142037242735037,1.0
15338,1,Person/1,0.012142037242735037,1.0
24066,1,Person/1,0.012142037242735037,1.0
17602,1,Person/1,0.012142037242735037,1.0
12731,1,Person/1,0.012142037242735037,1.0
9102,1,Person/2,0.012142037242735037,1.0
9805,1,Person/2,0.012142037242735037,1.0
30691,1,Person/2,0.012142037242735037,1.0
1069,1,Person/2,0.012142037242735037,1.0
16552,1,Person/2,0.012142037242735037,1.0
31319,1,Person/2,0.012142037242735037,1.0
6287,1,Person/2,0.012142037242735037,1.0
19316,1,Person/2,0.012142037242735037,1.0
303,1,Person/2,0.012142037242735037,1.0
4086,1,Person/2,0.012142037242735037,1.0
17244,1,Person/2,0.012142037242735037,1.0
13569,1,Person/2,0.012142037242735037,1.0
21834,1,Person/2,0.012142037242735037,1.0
19543,1,Person/2,0.012142037242735037,1.0
9300,1,Person/2,0.012142037242735037,1.0
26,1,Person/2,0.012142037242735037,1.0
29500,1,Person/2,0.012142037242735037,1.0
6485,1,Person/2,0.012142037242735037,1.0
5539,1,Person/2,0.012142037242735037,1.0
9876,1,Person/2,0.012142037242735037,1.0
16873,1,Person/2,0.012142037242735037,1.0
548,1,Person/2,0.012142037242735037,1.0
2714,1,Person/2,0.012142037242735037,1.0
17551,1,Person/3,0.012142037242735037,1.0
13893,1,Person/3,0.012142037242735037,1.0
28445,1,Person/3,0.012142037242735037,1.0
15614,1,Person/3,0.012142037242735037,1.0
3539,1,Person/3,0.012142037242735037,1.0
1630,1,Person/3,0.012142037242735037,1.0
2957,1,Person/3,0.012142037242735037,1.0
