feature_idx,n_cells,cells,pval,pval_bonferroni
20383,10,Aspect/Prog;Gender/Fem;Gender/Masc;Mood/Sub;Number/Plur;Number/Sing;Person/3;Polarity/Neg;Tense/Past;Tense/Pres,7.516064936470825e-28,2.46286415838276e-23
10870,10,Aspect/Prog;Gender/Fem;Gender/Masc;Mood/Sub;Number/Plur;Number/Sing;Person/1;Person/3;Polarity/Neg;Tense/Past,7.516064936470825e-28,2.46286415838276e-23
15614,9,Aspect/Prog;Gender/Fem;Gender/Masc;Mood/Sub;Number/Plur;Number/Sing;Person/1;Person/3;Tense/Past,2.4595161405496373e-24,8.059342489353051e-20
2468,8,Aspect/Prog;Gender/Fem;Mood/Sub;Number/Sing;Person/1;Person/3;Tense/Past;Tense/Pres,4.829210997655182e-21,1.5824358597116501e-16
17551,8,Aspect/Prog;Mood/Sub;Number/Plur;Number/Sing;Person/3;Polarity/Neg;Tense/Past;Tense/Pres,4.829210997655182e-21,1.5824358597116501e-16
4404,8,Aspect/Prog;Gender/Fem;Gender/Masc;Mood/Sub;Person/3;Polarity/Neg;Tense/Past;Tense/Pres,4.829210997655182e-21,1.5824358597116501e-16
20819,8,Gender/Fem;Gender/Masc;Mood/Sub;Number/Sing;Person/1;Person/3;Polarity/Neg;Tense/Past,4.829210997655182e-21,1.5824358597116501e-16
15980,7,Gender/Fem;Mood/Sub;Number/Plur;Person/1;Polarity/Neg;Tense/Past;Tense/Pres,6.321695409885486e-18,2.071493151911276e-13
12974,7,Gender/Fem;Number/Plur;Person/1;Person/3;Polarity/Neg;Tense/Past;Tense/Pres,6.321695409885486e-18,2.071493151911276e-13
21180,7,Gender/Fem;Number/Sing;Person/1;Person/3;Polarity/Neg;Tense/Past;Tense/Pres,6.321695409885486e-18,2.071493151911276e-13
14309,6,Aspect/Prog;Number/Sing;Person/3;Polarity/Neg;Tense/Past;Tense/Pres,5.7932280876758225e-15,1.8983249797696135e-10
