feature_idx,n_cells,cells,pval,pval_bonferroni
12731,6,Gender/Masc;Number/Plur;Number/Sing;Person/1;Person/2;Person/3,1.2621774483536189e-17,4.1359030627651384e-13
14366,6,Gender/Masc;Number/Plur;Number/Sing;Person/1;Person/2;Person/3,1.2621774483536189e-17,4.1359030627651384e-13
9539,6,Gender/Masc;Number/Plur;Number/Sing;Person/1;Person/2;Person/3,1.2621774483536189e-17,4.1359030627651384e-13
17484,6,Gender/Masc;Number/Plur;Number/Sing;Person/1;Person/2;Person/3,1.2621774483536189e-17,4.1359030627651384e-13
11802,6,Gender/Masc;Number/Plur;Number/Sing;Person/1;Person/2;Person/3,1.2621774483536189e-17,4.1359030627651384e-13
3454,6,Gender/Masc;Number/Plur;Number/Sing;Person/1;Person/2;Person/3,1.2621774483536189e-17,4.1359030627651384e-13
15980,6,Gender/Masc;Number/Plur;Number/Sing;Person/1;Person/2;Person/3,1.2621774483536189e-17,4.1359030627651384e-13
15614,6,Gender/Masc;Number/Plur;Number/Sing;Person/1;Person/2;Person/3,1.2621774483536189e-17,4.1359030627651384e-13
28847,6,Gender/Masc;Number/Plur;Number/Sing;Person/1;Person/2;Person/3,1.2621774483536189e-17,4.1359030627651384e-13
26040,6,Gender/Masc;Number/Plur;Number/Sing;Person/1;Person/2;Person/3,1.2621774483536189e-17,4.1359030627651384e-13
10870,6,Gender/Masc;Number/Plur;Number/Sing;Person/1;Person/2;Person/3,1.2621774483536189e-17,4.1359030627651384e-13
10123,6,Gender/Masc;Number/Plur;Number/Sing;Person/1;Person/2;Person/3,1.2621774483536189e-17,4.1359030627651384e-13
25677,6,Gender/Masc;Number/Plur;Number/Sing;Person/1;Person/2;Person/3,1.2621774483536189e-17,4.1359030627651384e-13
24916,6,Gender/Masc;Number/Plur;Number/Sing;Person/1;Person/2;Person/3,1.2621774483536189e-17,4.1359030627651384e-13
10585,6,Gender/Masc;Number/Plur;Number/Sing;Person/1;Person/2;Person/3,1.2621774483536189e-17,4.1359030627651384e-13
7092,6,Gender/Masc;Number/Plur;Number/Sing;Person/1;Person/2;Person/3,1.2621774483536189e-17,4.1359030627651384e-13
9102,6,Gender/Masc;Number/Plur;Number/Sing;Person/1;Person/2;Person/3,1.2621774483536189e-17,4.1359030627651384e-13
23689,6,Gender/Masc;Number/Plur;Number/Sing;Person/1;Person/2;Person/3,1.2621774483536189e-17,4.1359030627651384e-13
30723,6,Gender/Masc;Number/Plur;Number/Sing;Person/1;Person/2;Person/3,1.2621774483536189e-17,4.1359030627651384e-13
22920,6,Gender/Masc;Number/Plur;Number/Sing;Person/1;Person/2;Person/3,1.2621774483536189e-17,4.1359030627651384e-13
30980,6,Gender/Masc;Number/Plur;Number/Sing;Person/1;Person/2;Person/3,1.2621774483536189e-17,4.1359030627651384e-13
17348,6,Gender/Masc;Number/Plur;Number/Sing;Person/1;Person/2;Person/3,1.2621774483536189e-17,4.1359030627651384e-13
14530,6,Gender/Masc;Number/Plur;Number/Sing;Person/1;Person/2;Person/3,1.2621774483536189e-17,4.1359030627651384e-13
27021,4,Gender/Masc;Number/Sing;Person/1;Person/3,8.111676580714494e-11,2.6580341819685254e-06
7410,4,Gender/Masc;Number/Sing;Person/1;Person/3,8.111676580714494e-11,2.6580341819685254e-06
26650,4,Gender/Masc;Number/Plur;Number/Sing;Person/3,8.111676580714494e-11,2.6580341819685254e-06
9755,4,Gender/Masc;Number/Plur;Number/Sing;Person/3,8.111676580714494e-11,2.6580341819685254e-06
28023,4,Gender/Masc;Number/Plur;Number/Sing;Person/3,8.111676580714494e-11,2.6580341819685254e-06
11844,4,Gender/Masc;Number/Plur;Number/Sing;Person/3,8.111676580714494e-11,2.6580341819685254e-06
8782,4,Gender/Masc;Number/Sing;Person/1;Person/2,8.111676580714494e-11,2.6580341819685254e-06
10259,4,Number/Plur;Person/1;Person/2;Person/3,8.111676580714494e-11,2.6580341819685254e-06
5801,4,Number/Plur;Number/Sing;Person/1;Person/3,8.111676580714494e-11,2.6580341819685254e-06
19565,4,Number/Plur;Number/Sing;Person/2;Person/3,8.111676580714494e-11,2.6580341819685254e-06
26333,3,Gender/Masc;Number/Sing;Person/3,7.081062574600356e-08,0.0023203225844450445
8344,3,Gender/Masc;Number/Plur;Person/1,7.081062574600356e-08,0.0023203225844450445
32152,3,Gender/Masc;Number/Plur;Person/1,7.081062574600356e-08,0.0023203225844450445
20383,3,Gender/Masc;Person/2;Person/3,7.081062574600356e-08,0.0023203225844450445
24529,3,Gender/Masc;Number/Sing;Person/1,7.081062574600356e-08,0.0023203225844450445
28445,3,Gender/Masc;Person/2;Person/3,7.081062574600356e-08,0.0023203225844450445
32516,3,Number/Plur;Person/2;Person/3,7.081062574600356e-08,0.0023203225844450445
13146,3,Number/Plur;Person/2;Person/3,7.081062574600356e-08,0.0023203225844450445
13063,3,Number/Plur;Number/Sing;Person/3,7.081062574600356e-08,0.0023203225844450445
2155,3,Number/Plur;Number/Sing;Person/3,7.081062574600356e-08,0.0023203225844450445
26787,3,Number/Plur;Number/Sing;Person/3,7.081062574600356e-08,0.0023203225844450445
23818,3,Number/Plur;Number/Sing;Person/3,7.081062574600356e-08,0.0023203225844450445
18540,3,Number/Plur;Number/Sing;Person/3,7.081062574600356e-08,0.0023203225844450445
2479,3,Number/Sing;Person/1;Person/3,7.081062574600356e-08,0.0023203225844450445
17990,3,Number/Sing;Person/2;Person/3,7.081062574600356e-08,0.0023203225844450445
27860,2,Gender/Masc;Person/2,3.4782731747956994e-05,1.0
6341,2,Gender/Masc;Person/1,3.4782731747956994e-05,1.0
12290,2,Gender/Masc;Number/Sing,3.4782731747956994e-05,1.0
10529,2,Gender/Masc;Number/Sing,3.4782731747956994e-05,1.0
22860,2,Gender/Masc;Number/Sing,3.4782731747956994e-05,1.0
27031,2,Gender/Masc;Person/3,3.4782731747956994e-05,1.0
13174,2,Number/Plur;Person/3,3.4782731747956994e-05,1.0
17676,2,Number/Plur;Number/Sing,3.4782731747956994e-05,1.0
20746,2,Number/Plur;Number/Sing,3.4782731747956994e-05,1.0
2714,2,Number/Plur;Person/2,3.4782731747956994e-05,1.0
6858,2,Number/Sing;Person/1,3.4782731747956994e-05,1.0
4807,2,Number/Sing;Person/3,3.4782731747956994e-05,1.0
17551,2,Person/1;Person/2,3.4782731747956994e-05,1.0
1570,2,Person/1;Person/2,3.4782731747956994e-05,1.0
12974,2,Person/1;Person/2,3.4782731747956994e-05,1.0
5743,2,Person/1;Person/2,3.4782731747956994e-05,1.0
6758,2,Person/1;Person/2,3.4782731747956994e-05,1.0
31190,2,Person/1;Person/2,3.4782731747956994e-05,1.0
24442,1,Gender/Masc,0.009120419813959951,1.0
29120,1,Gender/Masc,0.009120419813959951,1.0
4052,1,Gender/Masc,0.009120419813959951,1.0
12340,1,Gender/Masc,0.009120419813959951,1.0
17548,1,Gender/Masc,0.009120419813959951,1.0
7993,1,Gender/Masc,0.009120419813959951,1.0
31320,1,Gender/Masc,0.009120419813959951,1.0
28848,1,Gender/Masc,0.009120419813959951,1.0
19027,1,Number/Plur,0.009120419813959951,1.0
32443,1,Number/Plur,0.009120419813959951,1.0
19547,1,Number/Plur,0.009120419813959951,1.0
20713,1,Number/Plur,0.009120419813959951,1.0
16320,1,Number/Plur,0.009120419813959951,1.0
30808,1,Number/Plur,0.009120419813959951,1.0
6150,1,Number/Plur,0.009120419813959951,1.0
29424,1,Number/Sing,0.009120419813959951,1.0
2083,1,Number/Sing,0.009120419813959951,1.0
32058,1,Person/1,0.009120419813959951,1.0
26854,1,Person/1,0.009120419813959951,1.0
10239,1,Person/1,0.009120419813959951,1.0
19969,1,Person/1,0.009120419813959951,1.0
25386,1,Person/1,0.009120419813959951,1.0
11617,1,Person/1,0.009120419813959951,1.0
15811,1,Person/1,0.009120419813959951,1.0
19768,1,Person/1,0.009120419813959951,1.0
29500,1,Person/1,0.009120419813959951,1.0
11720,1,Person/1,0.009120419813959951,1.0
28484,1,Person/2,0.009120419813959951,1.0
11925,1,Person/2,0.009120419813959951,1.0
1630,1,Person/2,0.009120419813959951,1.0
12680,1,Person/2,0.009120419813959951,1.0
21923,1,Person/2,0.009120419813959951,1.0
30431,1,Person/2,0.009120419813959951,1.0
1088,1,Person/2,0.009120419813959951,1.0
6832,1,Person/2,0.009120419813959951,1.0
20569,1,Person/2,0.009120419813959951,1.0
23404,1,Person/2,0.009120419813959951,1.0
9236,1,Person/2,0.009120419813959951,1.0
7075,1,Person/3,0.009120419813959951,1.0
1826,1,Person/3,0.009120419813959951,1.0
8167,1,Person/3,0.009120419813959951,1.0
